# ID	Score
NC_000005.10:g.69118507G>A	1
NC_000014.9:g.23375770C>T	-3
NC_000003.12:g.49100296C>A	-3
NC_000004.12:g.1807260T>C	0
NC_000001.11:g.222628319A>T	1
NC_000006.12:g.35462909G>A	0
NC_000009.12:g.136510689G>A	-3
NC_000023.11:g.154969508C>T	-2
NC_000005.10:g.45461967C>G	-1
NC_000001.11:g.161766407G>T	-2
NC_000002.12:g.26444747T>C	-3
NC_000017.11:g.38335201G>A	2
NC_000003.12:g.4665285A>G	-2
NC_000010.11:g.47348974G>T	1
NC_000014.9:g.24081471A>G	-3
NC_000005.10:g.150129831C>T	1
NC_000023.11:g.68521385G>C	-1
NC_000003.12:g.52452217C>A	1
NC_000012.12:g.101737877T>C	1
NC_000001.11:g.11030840A>G	0
NC_000019.10:g.15550690G>C	-2
NC_000020.11:g.33288741A>G	2
NC_000016.10:g.768698G>A	0
NC_000015.10:g.34790458T>C	-2
NC_000009.12:g.17340841T>A	2
NC_000023.11:g.108696350G>T	-2
NC_000019.10:g.35746735T>G	-2
NC_000003.12:g.113330342A>T	2
NC_000006.12:g.10877296C>T	0
NC_000010.11:g.133368964G>T	-2
NC_000017.11:g.80112922C>A	2
NC_000011.10:g.89191364G>A	1
NC_000001.11:g.34761477C>T	-3
NC_000005.10:g.171876352G>T	-2
NC_000013.11:g.38689652G>A	1
NC_000002.12:g.189010695T>G	0
NC_000018.10:g.46477710C>T	0
NC_000013.11:g.38692074T>C	-1
NC_000019.10:g.48303998C>T	1
NC_000001.11:g.156163009T>G	-2
NC_000009.12:g.132921429A>C	-1
NC_000013.11:g.113118772T>G	-3
NC_000012.12:g.52488365C>G	-1
NC_000017.11:g.43067628G>A	-1
NC_000016.10:g.2056753G>A	-2
NC_000017.11:g.41503385G>A	-3
NC_000006.12:g.45431915G>A	-1
NC_000023.11:g.111401157T>C	1
NC_000002.12:g.99361611A>T	-2
NC_000009.12:g.136434050C>T	0
NC_000011.10:g.6632249G>A	-1
NC_000012.12:g.125652514C>T	0
NC_000012.12:g.118139489A>G	1
NC_000015.10:g.55230423A>C	-2
NC_000023.11:g.154462248G>A	0
NC_000014.9:g.77555325G>A	-2
NC_000007.14:g.76434087C>G	-2
NC_000003.12:g.45516118C>T	-1
NC_000003.12:g.11259094G>C	0
NC_000010.11:g.114045277A>G	-1
NC_000008.11:g.142875730G>T	-2
NC_000014.9:g.92004858T>C	3
NC_000016.10:g.70921012G>T	-1
NC_000005.10:g.129461632G>A	0
NC_000008.11:g.10613247G>A	-3
NC_000007.14:g.117590355C>A	-1
NC_000008.11:g.10609650G>A	0
NC_000001.11:g.161209915C>A	-1
NC_000023.11:g.38403671C>A	0
NC_000023.11:g.38411938T>A	-3
NC_000011.10:g.46726761G>A	1
NC_000019.10:g.18599720C>T	0
NC_000003.12:g.93898524T>C	1
NC_000019.10:g.41986168T>A	-2
NC_000011.10:g.77156903C>T	-3
NC_000007.14:g.150951493T>C	0
NC_000002.12:g.47475171G>C	-1
NC_000006.12:g.31792877G>A	-3
NC_000020.11:g.2403685A>G	3
NC_000022.11:g.50627368C>T	-1
NC_000017.11:g.44915261G>C	1
NC_000016.10:g.3590784C>T	0
NC_000003.12:g.46991623A>C	-2
NC_000012.12:g.123758010A>G	1
NC_000023.11:g.70259585G>A	0
NC_000006.12:g.161785820G>A	-3
NC_000019.10:g.7647478A>G	-2
NC_000001.11:g.85267691C>T	-2
NC_000016.10:g.88428416G>A	1
NC_000001.11:g.196429671G>T	0
NC_000017.11:g.41624218A>C	-3
NC_000019.10:g.11378084G>A	0
NC_000020.11:g.763900A>C	-2
NC_000016.10:g.56511214C>A	-3
NC_000006.12:g.111591806C>T	1
NC_000018.10:g.26501144G>C	-2
NC_000014.9:g.102002694G>A	1
NC_000022.11:g.50077414C>A	-2
NC_000001.11:g.28993490T>C	-1
NC_000006.12:g.123547361C>T	1
